Codigo;descricao
TP8292IX;Coifa Suggar Piramidal Ilha Agata 90CM 220V
TP4660IX;Coifa Suggar Piramidal 60CM    127V
SD2021PR;Sanduicheira Suggar Prata 127V
TP0290IX;Coifa Suggar Piramidal Cristal 90CM 127V Vidro
TR1022BR;Torradeira Quadrada Suggar Branca 220V
TR7021BR;Torradeira Redonda Suggar Branca 127V
TR7022BR;Torradeira Redonda Suggar Branca 220V
TR7022PR;Torradeira Redonda Suggar Prata 220V
1105506;Conj. da Porta Completo Puxador Prata Inox 4B Best PR
1105507;Conj. da Porta Completo Prata Inox 5B Best PR
1103079;Knob lilas
1104031;Eixo da dobradica do forno
BI81BR;Dep. Suggar Bi Turbo 80CM 127V C/Lum.
NL62BR;Dep.  Suggar  Novo  Legitimo  Biturbo   60CM 220V
PL61BM;Dep Suggar Antares 60CM 3 Vel 127V C/Lum
PP61BM;Dep. Suggar Polaris 60CM 127V C/Lum.
VM6211BR;Lavadora Suggar Viva Max 6.0 127V
VM6222BR;Lavadora Suggar Viva Max 6.0 220V
1103174;Nova Lav Suggar Tourb Branca Sup Lx  127V
TP6690IX;Coifa Suggar Piramidal Safira 90CM 127V
TP6692IX;Coifa Suggar Piramidal Safira 90CM 220V
1105513R;Puxador 5Bcs Prata Inox Refugado
1105514R;Coluna dianteira  direita/Esq.Prata Inox Refugo
1105515R;Almofada 4 bocas PPrata Inox Refugo
1105516R;Almofada 5 bocasPrata Inox Refugo
1105517R;Lateral Prata Inox Refugo
5002BR;Lav Suggar Top Max  5.0 kg 220V
AS81BR;Dep Suggar Antares  Sense 80CM 3Vel127V C/Lum
LB82BM;Dep. Suggar Legitimo Biturbo 80CM 220V    C/Lum
PL82BM;Dep Suggar Antares  80CM 3Vel 220V C/Lum
TP4662IX;Coifa Suggar Piramidal 60CM    220V
TP4992IX;Coifa Suggar Piramidal 90CM    220V
GR2042CXIX;Grill Quad Suggar Inox 220V CX C/ 4
JC8822IX;Juicer/Centrifuga Inox Suggar 220V
JR1002CXBR;Jarra Eletrica Suggar 220V CX C/ 10
LQ2222CXBR;Liq Suggar BR 220V C/ Filtro CX C/06
TP8290IX;Coifa Suggar Piramidal Ilha Agata 90CM 127V
TR1021BR;Torradeira Quadrada Suggar Branca 127V
CA4090PT;Capa Lona Preta P/ Churrasqueira
CF2421PT;Cafeteira Suggar 24 Cafes 127V Preta
FE8021IX;Forno Eletrico Suggar Prata 8 Litros 127V
JR1002BR;Jarra Eletrica 1,0 L BR 220V
MX2021BR;Mixer Suggar  127V
SE18BIPR;Secador de Cabelos   Bivolt Suggar Prata
TP6662IX;Coifa Suggar Piramidal Safira 60CM 220V
TR7021PR;Torradeira Redonda Suggar Prata 127V
UM6101BR;Umidificador Suggar 127V
1105508;Painel 4bcs Max  Plus PR IX Silkado
1105509;Painel 5bcs Max  Plus PR IX Silkado
1105510;Painel 4bcs Max  Plus Prata IX
1105511;Painel 5bcs Max Plus Prata IX
5154386;"PN:4XB7A38273-2.5&QUOT;MV 960GB EN SATA"
5154387;PN:00MM860-INTEL X550-T2 DUAL PORT 10G CTLR
5154388;"PN:4XB7A38274-2.5&QUOT;MV 1.92TB EN SATA"
5154389;PN:7X06A0L1BR-LENOVO SR650 XEON4214R 12C 1X32SYSTGB XCC STD 2X 750W
5154390;PN:4ZC7A08709-THINKSYSTEM 32GB TRUDDR4 2933 MEMMHZ (2RX4 1.2V) RDIM
1005064;Etiqueta INMETRO Fogões de Piso - Impressão
UM6102BR;Umidificador Suggar 220V
0109010;Chapa Galv. 0,95 x 1200 x 2000mm
1101512;Trava da manta filtrante ANTARES 
BI61BR;Dep. Suggar Bi Turbo 60CM 127V C/Lum.
LB61BR;Dep. Suggar Legitimo Biturbo 60CM 127V    C/Lum
LB62BR;Dep. Suggar Legitimo Biturbo 60CM 220V    C/Lum
TP61BM;Dep Suggar Vega 60CM 127V    C/Lum
TP82BM;Dep Suggar Vega 80CM 220V    C/Lum
BT9021IX;Batedeira Batplus 127V Inox Suggar
BT9022CXIX;Batedeira Batplus 220V Inox Suggar CX C/ 6
BT9022IX;Batedeira Batplus 220V Inox Suggar
1105512;Puxador 4Bcs Pintado Prata Inox
1105513;Puxador 5Bcs Pintado Prata Inox
1105514;Coluna dianteira  direita/Esq. Prata Inox
1105515;Almofada 4 bocas Prata Inox
1105516;Almofada 5 bocas Prata Inox
1105517;Lateral Prata Inox
1105518;Pé traseiro Prata
1105519;Pé  dianteiro direito Prata
4801287;Manual de instruções Dep. Embutir Touch
5154418;FOGÃO INDUSTRIAL 4 BOCAS
5154419;Processador Intel Core
5154420;Placa Mãe Asus
5154421;Gabinete Kmex com fonte.
5154422;Rebobinador externo de etiquetas RBI-200
CH4001IX;Churrasqueira a Gas Suggar c/ Carrinho
FG6404IX;Cooktop a gás 4B INOX
1155055;Base do expositor secadora soldada
0713003;Passivador 
CF2422PT;Cafeteira Suggar 24 Cafes 220V Preta
DP92IX;Depurador Orion 90CM Inox 220V
FR4022BR;Ferro Elet Madri Suggar S/Fio 220V
GR2042IX;Grill Quad Cook Press Suggar Inox 220V
GR3022BR;Grill Delicia Suggar Branco 220V
JC8811BR;Juicer/Centrifuga Suggar 127V
LQ2220BR;Liq. Suggar liqmax BR 127V C/ Filtro
LQ2220CXPT;Liq Suggar PT 127V C/ Filtro CX C/06
LQ2222CXPT;Liq Suggar PT 220V C/ Filtro CX C/06
SD2022BR;Sanduicheira Suggar Branca 220V
TP0192IX;Coifa Suggar Piramidal Coral 90CM 220V
TP4972IX;Coifa Suggar Piramidal Topazio 70CM 220V
FGE5BBR;Fogao de Embutir a Gas 5B Vd  Branco
AD1911PT;Adega Climatizada Suggar Dijon 19G 127V
AF61BR;Dep. Classic Power Fischer    60CM 3 Vel. 127V C/L
PV5181BR;Passadeira a Vapor Suggar 127V
SD2021BR;Sanduicheira Suggar Branca 127V
CH3001IX;Churrasqueira a Gas Suggar Bancada
FE2322IX;Forno Eletrico Suggar Inox 23 Litros 220V
FE8022BR;Forno Eletrico Suggar 220V BR 8L
LQ2222BR;Liq Suggar Liqmax BR 220V C/Filtro
TP6092IX;Coifa Suggar Piramidal Onix Ilha 90CM 220V
FGE2BBR;Fogao de Embutir a Gas 2B Vd  Branco
BI62BM;Dep. Suggar Bi Turbo 60CM 220V C/Lum.
FE1001BR;Forno Elet Suggar A.Limpante Branco 127V
FR0521BR;Ferro Eletrico Suggar Paris Vapor 127V
FV7022BR;LAV FAVORITA SUGGAR 220V
SG62BR;Dep.  Suggar  Star  Light Biturbo   60CM 220V  C/L
EF8662BR;Esp de Frutas Max Fruit Suggar 220V
FE2322BR;Forno Eletrico Suggar Branco 23 Litros 220V
SD2021PT;Sanduicheira Suggar Preta 127V
TP0162IX;Coifa Suggar Piramidal Coral 60CM 220V
9998BR;Expositor Suggar p/ Depurador Branco
AC3911TB;Adega Climatizada   Suggar Cannes 39G   127V - TB
BI81BM;Dep. Suggar Bi Turbo 80CM 127V C/Lum.
FE2041BR;Forno Elet Suggar   Easy Clean Mojave   127V
MT0902BR;Manta Filtrante BR 580 x 780mm - Pcte C/ 2 Unid
NL82BM;Dep.  Suggar  Novo  Legitimo  Biturbo   80CM 220V
PL81BR;Dep Suggar Antares  80CM 3Vel 127V C/Lum
SG82BM;Dep.  Suggar  Star  Light Biturbo   80CM 220V  C/L
MP1801BR;Mini Processador de Alimentos Suggar 127V
NL61BR;Dep. Suggar Novo Legitimo Biturbo 60cm 127V
PP81BM;Dep. Suggar Polaris 80CM 127V C/Lum.
SC222BR;Sec Suggar Compacta Semi Aut  220V
TP61BR;Dep Suggar Vega 60CM 127V    C/Lum.
TP82BR;Dep. Suggar Vega    80CM 220V    C/Lum.
VV2270BR;Lavadora Suggar Viva 6.0 220V
AD1222PT;SS Adega Nice Suggar 12 G 220V
DP81IX;Depurador Orion 80CM Inox 127V
DP82IX;Depurador Orion 80CM Inox 220V
FE2321BR;Forno Eletrico Suggar Branco 23 Litros 127V
FE8022IX;Forno Eletrico Suggar Prata 8 Litros 220V
GR3021BR;Grill Delicia Suggar Branco 127V
JC8822BR;Juicer/Centrifuga Suggar 220V
JR1001CXBR;Jarra Eletrica Suggar 127V CX C/ 10
TP0160IX;Coifa Suggar Piramidal Coral 60CM 127V
LB62BM;Dep. Suggar Legitimo Biturbo 60CM 220V    C/Lum
LB81BM;Dep. Suggar Legitimo Biturbo 80CM 127V    C/Lum
MT2001BR;Manta Filtrante Suggar -  Emb 20 X 1
PP81BR;Dep. Suggar Polaris 80CM 127V C/Lum.
TP81BR;Dep. Suggar Vega    80CM 127V    C/Lum.
BT1021BR;Bat de Mao Giromix 127V BR Suggar
BT1022BR;Bat de Mao Giromix 220V BR Suggar
BT9022BR;Batedeira Batmax 220V BR Suggar
EF8661CXBR;Esp de Frutas Suggar Max Fruit 127V CX C/ 12
FE8021BR;Forno Eletrico Suggar 127V BR 8L
FG6404VP;Cooktop a gás 4B Vd  Preto
GR3032BR;Grill Petisco Suggar 30CM Branco 220V
9999BR;Expositor Suggar para Secadora Branco
FG2001BR;Forno Suggar a Gas  Branco
FR1222BR;Ferro Eletrico Suggar Roma Seco C/ Spray 220V
MT0901BR;Manta Filtrante BR 580 x 780mm - Pcte C/ 1 Unid
NL81BR;Dep.  Suggar  Novo  Legitimo  Biturbo   80CM 127V
SG61BR;Dep.  Suggar  Star  Light Biturbo   60CM 127V  C/L
TP4990IX;Coifa Suggar Piramidal     90CM 127V
VV1170BR;Lavadora Suggar Viva 6.0 127V
GR2041IX;Grill Quad Cook Press Suggar Inox 127V
PV6282PR;Passadeira Prof a Vapor 220V Suggar
TP5292IX;Coifa Suggar Piramidal Jade Ilha 90CM 220V Vidro
AD1211PT;Adega Nice Suggar 12 G 127V
AD2411PT;Adega Nantes Suggar 24 G 127V
DP61IX;Depurador Orion 60CM Inox 127V
