Codigo;descricao
4805002;Acumulador 415032
0103001;*Chapa celeron TC-200 espessura 1mm
0103012;Suporte do Pressostato Fixo 
0103022;Chapa PSAI BR c/ pelicula 2,0 x 720 x 1970mm
0303002;Motor  4 polos 127V tourb. 
0303009;Motor 4 polos 220V 50HZ Tourb. 
0310003;Motor 1/30 CF 4 polos 220V 60HZ 
0310010;Motor 220V 2 polos 3 velocidades Dep.
0310012;Motor 220V 2 polos 1 velocidade 50HZ  Dep. 
0310015;Motor 220V  2 polos 2 vel. 50HZ Dep. Star Light 
4804042;Chave seletora 250V 10A FE42L/23L - Switch 250V/10
4804111;Fechamento Traseiro 50L 127V
4804113;Resistência FE8L 300W 220V - Heating element HK-60
0101028;Bobina Galv. ZN/M/F 0,95 fita 26mm
0103011;* Bobina Galv. fita 1,20 x 278mm 
0103015;Chapa PET BR c/ pelicula 1,5 x 623 x 1990mm
0104008;Chapa FF 0,75 x 345 x 450 (QCV)
0309002;Compressor Tecumseh AZ0345YS 220V - LM: AZ400RS
0310004;Motor 220V rec. 
0310007;Motor 127V 2 polos 1 velocidade Dep. 
0401001;Cabeacao Depurador 60cm c/ 2 motores
0401019;Cabeacao depurador Star Light
1403054;Polipropileno Industrializado BR/BR 
4804024;Batente de silicone - Door mat
4804028;Gancho da porta - door hook
0101043;* Tela aluminio exp. acabamento coifa 90cm
0101060;Tela aluminio exp. acabamento coifa 60cm
0101115;Bobina FF SAE 1008 - 0,45 x 1200mm
0101117;Bobina FF SAE 1008 - 0,75 x 1200mm
0101142;Bobina FF SAE 1008 - 0,85 x 1200mm
0303012;Motor 4 polos 220V Lav. Lavamatic Super 
1403049;Master Azul claro Tampa Aleluia 5.0
4804051;Monobloco BR FE42L - Housing HK-42 White 
4804055;Pe FE23L - Oven leg HK-23 
4804057;Monobloco BR FE23L - Housing HK-23 White 
0101079;Chapa aluminio c/ pelicula 1,0 x 1000 x 2000mm
0101099;Bobina FF SAE 1008 - 0,50 x 1200mm 
0104014;Lateral direita modulo interno FE AL
1124023;Alca do Ferro Paris - FR0521/22BR
0104024;Lateral Esq.modulo interno Easy Clean
1213005;Produto Quimico H250 S 
1403043;Polipropileno H-117 
1403045;Poliacetal 20% F.V 
1403048;Master Azul Escuro
4804068;Puxador FE23L- Door handle  HK-23 
4804097;Puxador BR da bandeja  FE8L- Crumb tray handle whi
4804099;Vidro da porta FE8L - Glass door HK-602 
4804107;Lateral BR esquerda  FE8L - Laft side plate white
0101062;* Tela aluminio exp. interna coifa 60cm
0101098;Bobina FF SAE 1008 - 0,50 x 1100mm
0102013;Blank  Secadora  FF - 0.60 x 530 x 1.060mm
0103004;*Chapa celeron TC-200 espessura 2mm
0103013;Chapa PET BR c/ pelicula 1,8 x 623 x 1990mm
0105001;Chapa de fixacao do Tubo de aliment. Fogao Cook To
0255001;"""Parafuso w/cab.pan/fs 1/4  x 1/2"""" 20 fpp Galv. """
0303006;Motor 4 polos 220V Tourb
0104059;Chapa Galv. 0,65 x 470 x 1044 mm
0104060;Chapa Galv. 0,65 x 465 x 720mm
0401015;Cabeacao Depurador POLARIS
0401021;Cabeacao Dep. NV. Legitimo Biturbo p/ motor import
4804067;Suporte do puxador FE23L BR 
4804078;Grelha FE23L -  Wire rack HK-23 
4804121;Painel BR FE23L - Panel White HK-23 
4804125;Manual p/ Forno 8 Litros
4805016;Botao preto 401479
0101044;* Tela aluminio exp. interna coifa 90cm
0101061;* Mola da trava da tela filtrante coifa inox
0101145;Bobina FF SAE 1008 - 0,85x 880mm
1501062;*Caixa Dep. Titan 80cm
1502007;Protetor p/ caixa Secadora 50x50 Exp. Tokyo 
4804058;Monobloco Inox FE23L - Housing HK-23 
2001002;Forma Atex
4804092;Knob PT do timer FE8L - Timer konb black color HK-
0101138;Bobina FQ SAE 1008 - 2,0 x 1000mm
0303013;Motor 4 polos 220V 50HZ Lav. Lavamatic 
0303019;*Motor 127V  Lav. VIVA/VIVA MAX 6.0
0401013;Cabeacao Coifa 90cm
0401024;Cabeacao c/ placa eletronica  Depurador SENSE 220V
4804074;Knob Prata do seletor FE23L e 42L
4804076;Puxador da bandeja FE23L - Tray Clip HK-23 
4804098;Puxador prata da bandeja  FE8L- Crumb tray handle
4805011;Botao do gas 401449
0205002;Rebite ABA Chata 4,7 x 25,4mm ZC Preto 
0209033;Bucha UX  6 -35 mm em Nylon
0303011;Motor 4 polos 127V Lav. Lavamatic Super 
0309001;Compressor Tecumseh AZ0345YS 127V - LM: AZ400AS 
0310001;Motor 1/30 CF 4 polos 127V 60HZ 
0401002;Cabeacao Depurador Cook Star 60/80cm
0401006;Cabeacao completa Dep. VEGA
0401012;Cabeacao Coifa 60cm
4804070;Vidro da porta FE23L - Glass door HK-23 
4804103;Moldura prata da porta FE8L - Outer door frame sil
4804118;Modulo interno FE8L  - Inner HK-602 
4805022;Nao usar este codigo 
0203058;*Eixo recartilhado do batedor
0205005;Parafuso aa/cab.pan/fs 4,8 x 13,0 ZC 
0209021;Parafuso aa/cab. Ch/fc 4,2 x 22 Galv.preto 
0209022;Arruela Dentada 7,5 x 12,5mm ZC preto (623-074-03)
0209026;"""Parafuso w/cab. sext. 1/4 x 25mm 20 fpp Galv. """""""
0216001;Porca 3/16' -chave 5/16' ZC
0309003;Compressor Tecumseh AZ0360YS 127V - LM: AZ410AS
4804073;Knob Prata do temostato FE23L e 42L
4804093;Placa inferior FE8L- Base plate HK-602 
4804106;Bandeja FE8L -  Baking tray  HK-206
4804112;Resistência FE8L 300W 127V - Heating element HK-60
4804115;Acabamento interno superior  -Supporting plate for
0101042;Chapa aluminio 1,0 x 1000 x 2000mm
0101109;Monobloco coifa 60 cm inox dobrado - Especial 
0102003;Chapa FF SAE 1008 - 0,75 x 1000 x 1800mm
0103010;Bobina Galv.CH 1,2 x 142mm
0103020;Chapa PSAI BR c/ pelicula 2,0 x 755 x 1980mm
0103025;Chapa PET AM c/ pelicula 1,5 x 755 x 1980mm
0104010;Chapa Galv. 0,65 x 360 x 465mm
0104053;Fundo modulo int. FE Easy Clean
4804083;Lateral direita interna FE23L - Right side plate H
4804089;Knob BR do seletor FE8L - Switch knob white
4805006;Anel botao 401477
4805007;Anel botao do gas 401401
0803021;Anel Oring Ø12mm x # 1mm
0805015;Virola de vedacao do tubo alimentador
0855009;Metalon 50 x 30 #18 
0855010;"""Barra Chata 3/4x 1/8"""" """""""
0901015;Manta filtrante BR Dep.Fischer 380 x 500mm (Sem lo
0901016;Manta filtrante BR Dep.Fischer 380 x 700mm (Sem lo
0902003;Tubo Latex REF. 200 
0905006;*Cordao de vedacao do acabamento do queimador
4804088;Painel frontal prata FE8L - Front panel silver HK-
4804090;Knob PT do seletor FE8L - Switch knob black color
0309004;Compressor Tecumseh AZ0360YS 220V - LM: AZ410ES
0310011;Motor 220V 2 polos 3 velocidades 50HZ Dep. 
0310013;Motor 127V 2 polos 2 vel. Dep. Star Light 
0401022;Cabeacao c/ placa eletronica  Depurador SENSE 127V
0101021;Chapa Galv. 0,65x 2000 x 1200mm
0101106;Bobina Galv.CH 1,2 x 89mm
0102014;Blank Secadora - 0.60 x 530 x 799mm
0103028;Chapa PET BR c/ pelicula 1,4x 720 x 1970mm ( FLAKE
0310008;Motor 220V 2 polos 1 velocidade Dep.
0909007;Isolamento Mesa da Caixa Adega 39G 509 x 193 x 20m
1403037;San 9133 CM9200EL (Fume Symphony) 
1124024;Alca do Ferro Roma - FR1221/22BR
4806229;Monobloco 70 cm
0102009;Blank bobina EP. FF 0,60 x 160 x 498mm
0303020;Motor 220V  Lav. VIVA/VIVA MAX 6.0 
0310006;Motor 220V 50HZ 
1003003;Etiqueta painel removivel Sluxo
1003013;* Etiqueta complemento painel Sluxo NV
4804054;Knob BR do seletor FE42L - Switch knob white HK-42
4804061;Fechamento superior interno FE23L - Upper plate HK
1104103;Conj. modulo int. FE Easy Clean 127V s/ lampada
1104110;Forno Eletrico FE Easy Clean 220V c/ lampada
1106001;Coifa Piramidal 70 cm Topazio 127V
1109007;Adega 19G Montada 127V
1109009;Fechamento Inferior do monob. Adega 19G PT
1109018;Clip canoa preto
1109026;Adega Suggar Cannes 39G TB Montada 127V
1109045;Fechamento da Porta adega 39G em PSAI  61x674x2,0m
1120001;Mistura C/ PP OFC 21
1124015;Espaguete d/poliester cort. p/protetor termico FR0
1124016;Alca do Ferro cromado - Viena FR3521/22MT
1124018;Base montada do Ferro Milao 220V- FR0122BR
1104072;Trava conexao p/ mangueira
0104003;Chapa inox AISI 301/ 12R11 0,50 x10mm.
0104032;Chapa Galv. 0,65 fita 28mm
0104057;Lateral Dir.modulo interno FE Easy Clean c/ lampad
1155023;Placa promocional expositor coifa pintada
1155031;Embalagem e acessórios expositor secadora
1155083;Bandeja fogao 4Q nacional Vidro do expositor p/ Co
1155087;Adaptador Esq. do Dep.Orion 90cm do expositor p/ D
1155091;Band.4Q nac inox,Imp inox e Vid./5Q nac.Vid/5Q Imp
1155093;Quadro d/bandeja expos.p/ fogao Cook Top 2Q Vidro
4804048;Puxador da bandeja FE42L - Tray Clip HK-42 
1104034;Forno a Gas Suggar Easy Clean BR
1104039;Forno Eletrico 127V BR AL
1104040;Forno Eletrico 220V BR AL
1104058;Suporte conj. inj. F. A. gas estampado 
1104059;Suporte do puxador
1104060;Suporte do puxador estampado
1104109;Conj.modulo int.FE Easy Clean 220V s/ lampada
1106004;Coifa Piramidal 90 cm Topazio 220V
1106010;Coifa Piramidal 90 cm Jade 220V
1124001;Embalagem Ferro Milao - FR0121-22BR
0401004;Cabeacao Depurador 60/80cm c/ 1 motor
0401007;Cabeacao Depurador ANTARES
1003001;Etiqueta complemento tourb. TQ
1003035;Etiqueta Inmetro Lav. Favorita 220V
4804063;Resistência Inferior 350W 220V
4804077;Fechamento inferior FE23L - Base plate HK-23
4804081;Knob BR do seletor FE08L,23L e 42L- Switch knob wh
4804086;Lateral direita prata FE8L - Right side plate silv
1104032;Embalagens e acessorios Fgas
1104033;Embalagens e acessorios FE
1104042;Mola de retencao da dobradica
1104069;Tampa inf. F.Gas NV soldada 
1104104;Moldura frontal FE BR Easy Clean s/ lampada (Monja
1104108;Embalagens e acessorios FE Easy Clean 220V
1104116;Embalagens e acessorios FE Easy Clean 127V c/ lamp
1109020;Embalagem Adega 39G 127V/220V
1109025;Porta montada  com Vidro Duplo da  Adega 39G TB
1124010;Ferro Viena montado - FR3522MT
1003020;Etiqueta painel lavadora Favorita
4804069;Painel preto FE23L  - Panel Black color HK-23 
4804071;Suporte da dobradica FE23L BR 
0101036;Chapa Galv. 0,95 x 1000 x 2000
0102005;Chapa FF 0,75 fita 35mm
0104031;Fundo modulo interno AL
0109004;Chapa PSAI Preta 390 x 674 x 2,0mm
0303018;Motor Lavadora TOP  220V 50HZ 
0401003;Cabeacao Depurador 80cm c/ 2 motores
1003004;Etiqueta complemento painel Sluxo
1003026;Etiqueta painel lavadora Lavamax Exportacao
1003030;Etiqueta Inmetro Lav. Lavamatic 127V
4804045;Lateral direita interna FE42L - Right side plate H
4804053;Knob BR do temostato FE42L - Thermost knob white H
4804080;Knob BR do temostato FE23L e 42L - Thermost knob w
0101118;Bobina FF SAE 1008 - 1,50 x 1200mm
0101126;Bobina FF SAE 1008 - 1,06 x 1221mm
0103014;Chapa PSAI BR c/ pelicula 2,0 x 640 x 1970mm
0103023;Chapa PET-LAV.TQ c/ pelicula 1,5 x 720 x 1970mm 
0104009;Chapa FF 0,60 x 517 x 1239mm
0104016;Fechamento Horizontal modulo interno AL
0255005;"""Parafuso w/cab.pan/fs 1/4 x 2 - 3/4""""  20 fpp Gal"
0255006;Porca w/sext.1/4 20 fpp Galv. 
4804034;Espaçador do puxador FE42L - Isolated pad
4804037;Knob PT do timer FE42L - Timer konb black color HK
4804105;Gancho da porta FE8L - door hook HK-602
4805013;Botao do timer 101423
0101023;Bobina FF SAE 1008 - 1,20 x 1200mm 
0104020;Fundo modulo int. F.gas Easy Clean
0104055;Lateral Dir. modulo interno  FE Easy Clean s/lampa
0303014;Motor 4 polos 127V  Lav. Favorita/ Lavamax 
0310014;Motor 220V 2 polos 2 vel. Dep. Star Light 
0909010;Gaxeta de vedação da porta  Adega 19G (530 PR)
1001001;Etiqueta rigida SL fundo mb/silk prata
1001017;Bobina adesivo refletor AL 0,05 x 35mm x 30m (Picotado em 70mm)
1003017;Etiqueta painel Lavadora Lavamatic Plus c/esfregad
1003023;Etiqueta painel lavadora Favorita Plus
0103024;Chapa PSAI AM c/ pelicula 2,0 x 755 x 1980mm  ( PA
0104022;Base modulo interno Fgas Easy Clean
0104052;Bandeja esmaltada do Forno
0303016;Motor Lavadora 127V TOP 4.0
0401020;Cabeacao Dep. NV. Legitimo Biturbo 
0909011;PUR recopoly MDI 
1001014;*Logotipo Suggar Coifa 60/90cm resinada
1003011;Etiqueta painel TQ Turbilhao II
1003015;Perfil de acabamento do gab. Lav. Lavamatic Super
1003018;Etiqueta painel Lavadora Salfer Super
1003021;Etiqueta painel lavadora Lavamax Suggar
1003024;* Logotipo Azul Lavadoras Lavamax
0103019;Chapa PSAI BR s/ pelicula 1,5x 780 x 1970mm
1109049;Fechamento Inferior do monob. Adega 39G PT
4804007;Lampada do forno ZX
4804008;Programador ZX 
4804013;Fechamento traseiro FE42L - Rea plate HK-23
1106007;Coifa Piramidal 60 cm Jade 127V
1109014;Suporte do termostato  Adega 19G Pintado/Silkado
1104125;Forno Eletrico 127V BR AL Exportacao
1122004;Centrifuga  (AD-45) Montada 220V
1124004;Embalagem Ferro Viena - FR3521-22MT
1155001;Embalagem e acessórios expositor depurador
4804020;Suporte cerâmico direito - Right ceramic
1104054;Porta do Forno montada
1106006;Coifa Piramidal 90 cm Onix 220V
1109027;Adega Suggar Cannes 39G TB Montada 220V
1109033;Dobradica Direita Adega 19G/39G - PT
1109040;Quadro metalico Adega 39G PT
1124009;Ferro Viena montado - FR3521MT
1155044;Blank Placa promocional - 050 x 122 x 599mm
1155076;Quadro pintado do expositor p/ Depurador
4804022;Fechamento inferior FE42L - Base plate HK-42
4804030;Suporte da dobradica FE42L BR 
4804047;Resistencia superior 400W 220V - Upper heating pi
4804062;Resistência Inferior 350W 127V
1104041;Knob branco PBT
1109012;Fechamento Traseiro  Adega 19G Soldado
1103308;Lavadora Favorita Plus entrada automatica 127V Exp
1103315;Tampa movel da lavadora TOP. BR.
1103367;Batedor em helice completo VD
1103387;Polia Motor Ø 40mm
1103400;Embalagem e impressos Lavadora  VIVA MAX 6.0 kg
1104015;Conj. distribuicao F. Gas
1001015;Adesivo loctite 326 - Cod-28979
1003014;Etiqueta painel Lav. Lavamatic Super
1003016;Etiqueta painel Lavadora MK Tech Super
4801002;Tela de aluminio expandido 90cm Dep. Orion
4801012;Grampo da fiacao - Wire clip
4804010;Vidro forno ZX 
1103304;Gabinete BR Lavadoras Turbilhao dobrado
1103316;Emb. e impressos Lav. TOP 4.3
1103318;Mistura  Prata para Lavadoras 50-50
1103331;Tampa fixa  Azul Escuro
1103351;Mistura J- Favorita Azul Escuro 
1103393;Grade BR da Lav.Viva/Vivamax
1103401;Lavadora VIVA MAX 6.0 kg  127V
1103414;Batedor em helice CZ
1104004;Reforço da tampa traseira FGas 
4801005;Tampa Filtrante 90cm Dep. Orion
4801008;Trava da manta filtrante - Wire for fixing filter
4801016;Protecao da cabeacao - Wire cover
1103294;Mistura BR para filtro do liquidificador
1103297;Lavadora Favorita Plus  220V 50HZ
1103327;Lav. Predileta Super AZ 127V montada
1103342;Lav/Tanq Suggar  Turbilhao C/Timer 220V AZ
1103398;Lavadora  TOP 5.0  220V
1155021;Conj. coluna esq. expositor coifa montado
1155054;Coluna do expositor secadora usinada
1155067;Bandeja Pintada d/expos.p/fogao Cook Top 4/5 queim
4801039;Articulação Esq.PT
4840167;Gancho batedor Esq. Batedeiras Batmax/Giromix/Batp
1155056;Quadro de base expositor usinado
1155059;Fechamento da Base fixa do expositor  p/ fogao Coo
1155066;Quadro d/ bandeja do expos.p/ fogao Cook Top 5 que
4804029;Eixo da porta FE42L -  Door axis HK-42
1109042;Suporte de fixacao da porta da Adega 39G
1116001;Clip canoa
1124005;Ferro Milao montado - FR0121BR
1124008;Ferro Roma montado - FR1222BR
1124012;Ferro Paris montado - FR0522BR
1124022;Base montada do Ferro Paris 220V- FR0522BR
1150003;Regua 30cm
4804006;Junta ZX 
4804021;Distanciador PT- Distancem rod black color
4804031;Grelha HK-42 - Baking meshwork - Iron wire Ø 2.5 c
4804046;Resistencia superior 400W 127V- Upper heating pipe
1104090;Manipulo Forno a Gas BR 
1104095;Embalagens e acessorios FE Tokyo 220V
4801043;Manual p/ Depurador Orion
4804038;Knob PT do temostato FE42L - Thermost knob black c
4804044;Monobloco Inox FE42L - Housing HK-42 
1103305;Lavadora Lavamax  c/dispenser p/sabao L02-04 127V
1103320;Mistura G- BR 
1106002;Coifa Piramidal 70 cm Topazio 220V
1122003;Centrifuga  (AD-45) Montada 127V
1155077;Placa promocional silkada do expositor p/ Depurado
1155082;Bandeja fogao 5Q nacinal inox c/s tripla chama exp
1155088;Adaptador Dir. do Dep.Orion 90cm do expositor p/ D
4801038;Articulação Dir.PT
4801045;Manual p/ Coifa Agata
4804005;Indicador vermelho ZX
4804040;Lâmpada Piloto 220V com Chicote FE5012PT/BR
1104100;Embalagens e acessorios FE Easy Clean 127V
1104112;Conj.modulo int.FE Easy Clean 220V c/ lampada
1124011;Ferro Paris montado - FR0521BR
1124014;Espaguete de poliester cortado p/ lampada do  FR05
1124021;Base montada do Ferro Paris 127V- FR0521BR
1155019;Kit fixação do expositor coifa
1104043;Moldura frontal FE BR
1104061;Suporte do termostato
1104065;Tampa inf. F.Eletrico galv. dobrada
1104067;Tampa inf. F.Gas NV dobrada 
1104107;Forno Eletrico FE  Easy Clean 220V s/ lampada
1104114;Moldura frontal FE BR Easy Clean c/ lampada (Saara
1104130;Arame galv. fio 18 (1,24mm) Cortado
1109043;Bucha da dobradica da Adega 39G
1124007;Ferro Roma montado - FR1221BR
1124019;Base montada do Ferro Roma 127V - FR1221BR
0401026;Cabo de alimentacao p/ Depurador Sirius/Titan
4804036;Lente da lâmpada piloto - Shell for indicator ligh
1104046;Moldura frontal Fgas BR
1104074;Knob Preto
1104094;Embalagens e acessorios FE Exportacao
1104099;Conj. do Puxador
1104127;Conj. moldura frontal BR FE Exportacao
1106003;Coifa Piramidal 90 cm Topazio 127V
1106005;Coifa Piramidal 90 cm Onix 127V
1106009;Coifa Piramidal 90 cm Jade 127V
1109002;Embalagem Adega 19G 220V
1124020;Base montada do Ferro Roma 220V - FR1222BR
1150004;Regua promocional injetada 20cm 
4804009;Termostato ZX 
1104050;Monobloco Forno estampado
1104057;Puxador Forno BR 
1104062;Suporte queimador F.Gas estampado 
1104071;Tampa traseira Forno 
1104126;Forno Eletrico 220V BR AL Exportacao
1109003;Monobloco Adega 19G PT
1109017;Adega 19G Montada 220V
1109044;Monobloco Adega 19G Dobrado
1109051;Adega Suggar  39G PT de Chapa Montada 220V
1150001;Chaveiro montado 
4804035;Suporte do puxador FE42L BR 
4804039;Knob PT do seletor FE42L - Switch knob black color
1104051;Monobloco Forno BR
1104070;Tampa traseira F.Gas soldada 
1104093;Contra pino  - arame
1104102;Conj. moldura frontal BR FE Easy Clean  s/ lampada
1104117;Conj.modulo int.FE Easy Clean 127V c/ lampada
1104118;Conj. moldura frontal BR FE Easy Clean c/ lampada
1109001;Embalagem Adega 19G 127V/220V
1109021;Embalagem Adega 39G 220V
1109041;Suporte do termostato Adega 39G PT
1109052;Embalagem Adega 39G PT de chapa
1124002;Embalagem Ferro Paris - FR0521-22BR
4804017;Suporte cerâmico para forno 23/42L
1104089;Canopla Forno a Gas BR
1104091;Tampa inf. F.Eletrico NV estampada
1104115;Forno Eletrico FE Easy Clean 127V c/ lampada
1104128;Blank do Forno 0,50 x 517 x 1239mm (recortado de 5
1104098;Conj. moldura frontal BR FE Tokyo
1109024;Fechamento da Porta adega 39G em PSAI 329x 674x 2,
1109046;Adega Suggar  39G PT de Chapa Montada 127V
1109047;Monobloco Adega 39G PT
1110008;Turbina plastica 
1124003;Embalagem Ferro Roma - FR1221-22BR
1124006;Ferro Milao montado - FR0122BR
1124017;Base montada do Ferro Milao 127V - FR0121BR
4804014;Passa cabo - Wire clasp 
4804016;LateralDir/Esq interna FE42L
1106008;Coifa Piramidal 60 cm Jade 220V
1109032;Dobradica Esquerda Adega 19G/39G - PT
1109050;Fechamento Traseiro  Adega 39G Soldado
1155018;Embalagem e acessórios expositor coifa
1155069;Coluna pintada do expositor  p/ fogao Cook Top
1155080;Base fixa pintada do expositor  p/ Coifa
1155092;Bandeja p/expositor fogao Cook Top 2 Q.d/ Vidro -
4804003;Helice do motor ZX
4801025;Monobloco inox de 60cm - Body 60 cm
1103309;LAVADORA TOP 4.3 BR 127V
1103314;Dispenser Cata fiapo lavadora TOP  BR
1103325;Mistura protetor do motor depurador
1103355;Cuba Azul Lavavadora TOP.
1103360;Dispenser Cata fiapo lavadora TOP AZ.
1103373;Lavadora DAKO 220V
1103390;Embalagem e impressos Lavadora VIVA 6.0 kg
1103416;Base e Grade de proteção Lav. Top.
2209009;Reservatorio  Preto 110mm x 25mm
1103375;Mistura C/ PP Industrializado BR 
1103380;LAVADORA MK TECH TOP 4.3 BR 220V
1103384;KIT Batedor em helice Completo Azul
1103386;KIT Batedor completo Tourbillion
2205010;Queimador Rapido PYRAL GALSI ( c/aba) 
2209011;Caixa DIN. 98x48 /2 VVPF p/ termostato digital
2209014;Modulo de Madeira Adega Cannes 39G TB
2209015;Porta de madeira  Adega 39G TB
1103363;Base CZ Lavadora TOP
1103404;Visor Fume CZ Viva Max
1103418;xx livre engenharia
4801010;Tampao do parafuso - Screw cap
4801026;Monobloco inox de 90cm - Body 90cm
4804041;Termostato 250V 16A - Thermost 250/16A  HK-23/42
4804065;Resistencia superior 400W 220V - Upper heating pip
1103303;LAVADORA LAVAMAX  SUPER EXP. 127V 60HZ
1103353;LAVADORA TOP 4.3 AZUL 127V
1103395;Tampa móvel transparente lavadora TOP.
1155071;Tubo p/ Bandeja do expositor  p/ fogao Cook Top
4804082;Knob BR do timer FE08L, 23L e 42L  - Timer konb wh
1103298;Lavadora Lavamax  c/dispenser p/sabao 220V 50HZ
1103306;Lavadora Lavamax Super c/dispenser p/sabao e Am.12
1103307;Lavadora Favorita  Simp. 127V Exportacao
1103319;Mistura PT peças pretas Paraiba
1103332;Mistura H- LDP - C/ PP Industrializado  Azul Escur
51522018;Pino Engate Femea 1/2 - 1/2x 1/2xx
1101721;Embalagens e acessorios Dep. VEGA 60cm  50HZ
1101737;Dep.  60CM BG Novo Legitimo Biturbo 220V
1101758;Conj. tampa filtrante 80cm BR Star Light / NV Leg.
1101776;Depurador Suggar Legitimo Bi Turbo 60cm BR 220V
1101777;Depurador Suggar Legitimo Bi Turbo 60cm BG 127V
1101787;Monobloco 60cm Star Light BR pintado 
1101810;Embalagens e acessórios Dep.80 Cm Novo Legitimo Bi
1101825;Painel frontal SENSE 80 BM  tampografado 
1101826;Depurador Suggar SENSE 60cm BR 127V C/Lum.
1101831;Depurador Suggar SENSE 80cm BR 220V C/Lum.
4801035;Vidro defletor 90cm
4801040;Lampada - Bulb 127V
4801044;Manual p/ Coifa Safira
1103296;Lavadora Favorita  Simp. 220V 50HZ
1103310;Gabinete  dobrado Lav. TOP
1103336;Lav Suggar Lavamatic Plus C/Esfr TP AZ 127V montad
1103350;Mistura I - c/ PP Industrializado Azul Escuro (Bas
1103352;LAVADORA TOP 4.3 BR 220V
4804012;Fechamento superior interno FE42L - Upper plate HK
4804019;Resistência Inferior/Superior 400 W 220V
4804023;Pe FE42L - Oven leg HK-42 
4804027;Mola diam. 0,8mm - Springs
1104056;Produtos quimicos monobloco Forno 
1104096;Forno Eletrico Tokyo A.Limpante Branco
1105004;Manipulo PT para Fogão
4804032;Bandeja HK-42 -  Baking meshwork - cold plate t=0.
4804059;Fechamento traseiro FE23L - Rea plate HK-23
1104049;Monobloco Forno dobrado
1104068;Tampa inf. F.Gas NV estampada 
1104101;Forno Eletrico FE Easy Clean 127V s/ lampada
1104111;Embalagens e acessorios FE Easy Clean 220V c/ lamp
1110007;Trava do caracol 
1110011;Mistura A- PP C/  ANTI-CHAMA
1124013;Espaguete d/poliester cortado p/protetor termico F
1150002;Chaveiro Suggar 
4801041;Kit instalacao Depurador Orion
4801042;Mola Depurador Orion
4801046;Batente da Articulacao -Não utilizar- do conjunto
4804001;Botao ZX
1103317;Mistura PP + master preto
1103323;Lav Favorita Suggar c/esf e tampa c/visor 127V
1103347;Mistura  VD tampa entarda de agua 10kg
1103361;Sifão em  L Ø 10mm Azul
1103371;Embalagens e impressos Lav. DAKO
1103385;KIT Batedor em helice Completo BR.
1103392;Grade  AZ da Lav. Favorita/Lavamax
1104006;Cantoneira tampa inf. FGas dobrada
4801022;Direcionador depurador oriom
4801028;Adaptador de saida de ar - Holder of air outlet
4801036;Suporte da articulação Dir.PT
4801037;Suporte da articulação Esq.PT
1103295;Mistura Preta para filtro do liquidificador
1103311;Base BR. Lavadora TOP
1103333;Lavadora Lavamatic Super TP-AZ 127V montada
1103341;Lav/Tanq Suggar  Turbilhao C/Timer 127V AZ
1103349;Lavadora Lavamatic Hexa Super AM 220V montada
1103354;LAVADORA TOP 4.3 AZUL 220V
1103356;Base Azul lavadora TOP.
1103366;Batedor em helice VD
1103383;KIT Batedor completo Tourbilhao II
1103388;Lavadora VIVA 6.0 kg  127V
1103399;Embalagem e impressos Lavadora TOP 5.0
1103405;Mistura H- BR NANO TECNOLOGIA - TQ e LAVAMAX
1103345;Gabinete AM. Lav. Lavamatic dobrado
1103369;Cuba BR. AQUA
1103389;Lavadora VIVA 6.0 kg  220V
1103403;Tampa movel Fume Viva
1103408;Cuba BR.VIVA/VIVA MAX injetada
1103413;Dispenser fume Viva 6.0
1103415;Batedor em helice Completo CZ Viva
1103417;Knob Lav. TOP 5.0 - Tampografado
4801004;Tampa Filtrante 60cm Dep. Orion
4806090;Placa de controle 3 Vel.
1103313;Cuba BR Lavadora TOP 4.3
1103324;Lav Favorita Suggar c/esf e tampa c/visor 220V
1103326;Mistura G Verde  pçs Int. Aleluia
1103330;Cuba Lavamatic  Azul Escuro
1103338;Tampa Fixa c/ esfregador AZ escuro Lavamatic
1103368;Filtro  Verde DAKO
1103370;Ralo Verde DAKO
1103397;Lavadora  TOP 5.0  127V
2205017;Fundo da Mesa Fogao Cook Top 2Q.montado
4801013;Motor 127 V
4801021;Conector do Motor - Depuradores
4801048;Caixa p/ Depurador Orion de 90cm
1103293;Mistura A Azul 
1103302;LAVADORA LAVAMAX  EXP. 127V 60HZ
1103322;Mistura G- Azul 
1103346;Cuba Lavamatic  VD
1155084;Expositor de Metalon montado p/ Coifa
1155090;Bandeja  fogao 2Q nacional do expositor p/ Coifa
1155095;Quadro d/bandeja expos. fogao Cook Top 5Q. Inox- i
2209012;Porta com Vidro Duplo completa Adega 19G
4801029;Lateral  inox Dir/Esq - Side plate right/left
4801047;Caixa p/ Depurador Orion de 60cm
4804011;Alça suporte superior FE42L
4804015;Cordão de força FE42L - Power cord HK-42
1103321;Tampa movel Fume Lavamatic
1103329;Base  Azul Lavamatic
1103334;Lavadora Lavamatic Super TP-AZ 220V montada
1103343;Base  Lavamatic VD
1103396;Knob Lav. TOP 5.0
1103412;Filtro fume Viva 6.0
1104029;Corpo da dobradica Forno
1104030;Dobradica do Forno soldada
4804025;Painel preto FE42L  - Panel Black color HK-42 
4804050;Painel BR FE42L - Panel White HK-42 
4804064;Resistencia superior 400W 127V- Upper heating pipe
1102081;Secadora montada 220V - 50HZ ( Exportacao Tokyo )
1102087;Suporte fixacao Secadora Dir.BR 
